PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Sindarius Thornwell,LAC,23,48,8,8.20%,5,9,55.6,55.6,7.30%,5,8,62.5,0.90%,0,1,0
Skal Labissiere,SAC,21,42,25,15.30%,9,42,21.4,21.4,14.60%,9,40,22.5,0.70%,0,2,0
Spencer Dinwiddie,BKN,24,54,54,43.10%,80,246,32.5,42.9,12.10%,29,69,42,31.00%,51,177,28.8
Stanley Johnson,DET,21,44,38,27.00%,29,89,32.6,33.1,23.00%,28,76,36.8,3.90%,1,13,7.7
Stephen Curry,GSW,29,41,41,41.70%,133,287,46.3,59.1,14.70%,60,101,59.4,27.00%,73,186,39.2
Sterling Brown,MIL,23,30,15,20.00%,11,20,55,62.5,16.00%,8,16,50,4.00%,3,4,75
Steven Adams,OKC,24,51,5,1.30%,0,6,0,0,1.10%,0,5,0,0.20%,0,1,0
T.J. McConnell,PHI,25,46,38,42.20%,56,108,51.9,53.2,40.20%,53,103,51.5,2.00%,3,5,60
TJ Leaf,IND,20,42,8,8.20%,3,9,33.3,33.3,8.20%,3,9,33.3,0.00%,0,0,-
TJ Warren,PHX,24,54,52,25.30%,80,211,37.9,37.9,23.90%,80,199,40.2,1.40%,0,12,0
Taj Gibson,MIN,32,59,27,7.30%,12,36,33.3,33.3,7.30%,12,36,33.3,0.00%,0,0,-
Tarik Black,HOU,26,36,2,2.30%,0,2,0,0,0.00%,0,0,-,2.30%,0,2,0
Taurean Prince,ATL,23,56,47,20.40%,32,113,28.3,31.9,13.20%,24,73,32.9,7.20%,8,40,20
Terrance Ferguson,OKC,19,40,9,11.00%,5,12,41.7,45.8,7.30%,4,8,50,3.70%,1,4,25
Terrence Ross,ORL,27,22,18,32.70%,19,55,34.5,40,22.60%,13,38,34.2,10.10%,6,17,35.3
Terry Rozier,BOS,23,55,55,39.70%,71,190,37.4,46.8,18.80%,35,90,38.9,20.90%,36,100,36
